name,descriptionAr,descriptionEn,image,categoryId,price,discountedPrice
Aslavital Anti-Wrinkle Treatment Serum ,سيسسسيب,"The products target all skin types, including sensitive ones. Farmec innovation: The first line of products with the Gatuline Clay complex, a unique natural anti-wrinkle, with an instant lift effect.
 
 Effect instant lift without a scalpel.
 Dermatologically tested.
 
 It is an innovative fluid gel, specially created for the intensive treatment of the face and especially of the areas more exposed to the process of aging and wrinkling (the area around eyes, lips, and forehead).
 
 The extract of Gatuline Expression, associated with Clay gives the serum unique anti-wrinkle properties. The decrispant effect is instantaneous and the wrinkle reduction is visible after only one day of application. The skin's microrelief is improved after only 10 days of using the serum.
 
 It is an innovative fluid gel, specially formulated for intense face treatment and especially for areas more exposed to aging and wrinkling.
 
 The Gatuline Expression extract associated with Clay gives the serum unique antirid properties.
 Hyaluronic acid preserves the degree of hydration of the skin and helps to wrinkle.
 Vitamin E microcapsules prevent oxidative aggression at the cellular level and the destructive action of UV radiation.
 
 Hyaluronic Acid maintains the proper hydration of the skin and prevents the occurrence of wrinkles. The microcapsules with E vitamin prevent oxidative aggression at the cellular level and the destructive action of the UV radiations.
 
 How to use
 
 It is used daily, morning and evening, after cleansing and cleansing the face, before the Ultra-Active Lift Cream from the same range.
 
 The product is packaged in an airless vial. The main difference of this system is that there is no immersion tube, but a diaphragm that rises when the product is evacuated by pressing the button. The advantages of the airless system are: it allows the evacuation of the content almost 100%, the dosage of the product is constant, the risk of contamination of the product is low. At first use, approx. 15-20 drives for priming the pump.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Anti-Wrinkle-Treatment-Serum.png?alt=media&token=e56af2f0-302d-45b6-bda3-2955f30bad41,7,36,28.8
Aslavital Clay Powder Treatment ,سيسش,Clay powder for cosmetic treatments,https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Clay-Powder-Treatment.png?alt=media&token=9cf6237b-5beb-42c0-b544-fe27541c4c92,7,15,12
Aslavital Collagen Ampoules ,شسيسش,"ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.
 
 Result:
 The product ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.
 
 How to use:
 * The product ensures protection against oxidative stress through the Ferulan Complex (Rice Bran Oil and Ferulic Acid), increasing the skin protection level and giving it a younger and healthier appearance. The unique complex of natural Clay, organic Goji berry extract has strong skin and cell energizing effects, it regenerates, moisturizes, and tonifies the skin.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Collagen-Ampoules.png?alt=media&token=c3a83946-fe43-4a0c-a5ef-e0cf759d6604,7,49,39.2
Aslavital Contour Cream For Eyes And Lips ,شسيسش,"restores the beauty of your eyes and lips due to: - the intense effect of hydration and nourishing, soothing and protection - instant effect of smoothing the wrinkles, after applying it for only one day - cell regenerating effect, fighting against dark circles and pouches It's a special formula, protects the delicate skin around eyes and lips against external factors (UV rays, pollution, wind smoke) and the destructive action of free radicals.
 
 How to use:
 Apply in the morning and evening, after correct cleansing, massaging gently with circular movements.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Contour-Cream-For-Eyes-And-Lips.png?alt=media&token=580047f5-0b7e-46f0-bebc-b5e61807ed93,7,36,28.8
Aslavital Ultra-Active Lift Cream ,شسيسش,"The Aslavital Ultra Active Lift Cream has a great smoothing effect on the wrinkles, improves cellular regeneration, rejuvenates the skin, and creates a very pleasant silky sensation. The Gatuline Expression extract and Clay, provide unique anti-wrinkle effects. By quickly blocking the spontaneous contractions of the face muscles, the Aslavital Ultra Active Lift Cream has an instantaneous smoothing effect and the wrinkle reduction is visible after only one application day. The skin microrelief is improved after only 10 days of using the cream. The Boswellia Serrata extracts and Clay have an important soothing effect on the epidermis, activating blood circulation and fighting against dark circles and pouches. Skin hydration is provided by the Natural Oils complex (Shea Butter, Soy Oil, Squalane) associated with clay and natural active principles. The Ferulic Acid And Vitamins A and E, reduce the fine lines, pigmentation spots, increase skin elasticity, stimulate the production of elastin and collagen, and prevents the destructive effects of UV radiations. The vegetal phytohormones replenish the deficiencies of mature skin and stimulate the cell's regenerating process.
 
 How to use:
 Apply twice a day, in the morning and evening, on face, neck, and decolletage, after correct cleansing, massaging gently with circular movements, until complete absorption.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FAslavital-Ultra-Active-Lift-Cream.png?alt=media&token=5a659116-7789-4af3-8066-9c449de13d66,7,36,28.8
Coverderm Camouflage Classic,شسيسش,"A unique waterproof makeup for maximum coverage. It perfectly covers any severe skin imperfection like scars, and burns, acne, age spots, vitiligo, sun spots, tattoo
 
 Recommended by dermatologists and make-up artists worldwide!
 
 Coverderm Classic- creamy makeup, easy to apply, ideal to cover any sever imperfection such as acne, vitiligo, angiomas, pregnancy mask, age and sun spots, pigmentation, freckles, facial redness, scars, burn, tattoo. Can be used for face and body.
 
 Highlights
 
 A unique waterproof makeup for maximum coverage, that lasts 24 hours, and provide high sun protection SPF 30
 Suitable to all skin type, providing high cover if it is necessary, or can be used in smaller quantities for a natural outlook.
 Perfect for any working woman that desires a makeup with a natural-looking effect that can last all day long.
 Perfect for special occasions: weddings, swimming, skiing, dancing, outdoor activities.
 It does not irritate the skin and allows it to breathe.
 Available in 12 colors. Please refer to the color chart to choose a shade appropriate for your skin and mention the number in your order's comment section.
 
 
 Clever make-up
 
 Camouflage make-up is real value for money: they provide coverage up to 5 times more than ordinary foundation, therefore it is better to use less quantity than more!
 Before applying or after removing your make-up, nourish your skin with Skin Protector or your favorite moisturizer.
 Apply a small quantity of Coverderm Classic and spread it well with a finger or a sponge. Fix it with powder, apply again Classic on the affected area, and fix again with powder.
 Apply Finishing Powder to fix the makeup. You can apply Finishing Powder on oily skin anytime during the day to absorb sebum and eliminate the shinny-look effect.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Classic.png?alt=media&token=f01198d9-3c09-496f-b05d-a28247bb3dd1,7,26,20.8
Coverderm Camouflage Compact Powder,شسيسش,"Compact powder that satisfies the individual needs of each skin type. They can be used either to set the camouflage make-up or to be applied by themselves to render attractive shades onto your skin and diminish the look of fine lines.

It is clinically proven non-comedogenic (non-acnegenic), hypoallergenic, waterproof in 3 different formulas (normal-dry-oily) and different shades.
",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Compact-Powder.png?alt=media&token=7d624fdd-e6f2-4c26-a72f-00276c973aa2,7,23,18.4
Coverderm Camouflage Concealer,شسيسش,"An excellent concealer that covers up dark eye circles and fine lines, rendering a bright fresh look!
 
 Recommended by dermatologists and make-up artists worldwide!
 The under-eye area is the most sensitive skin area of the body. Dark circles and under-eye puffiness can be of permanent nature or can easily appear to anyone due to tiredness and stress, within hours!
 
 Coverderm Concealer is the absolute solution, dark circles and any under-eye blemish disappear in an instant. It is also ideal to smooth out under-eye puffiness, and can be used to cover acne, pimples, vitiligo, dark spots, A hypoallergenic concealer enriched with anti-aging factors that fight free radicals for a younger-looking appearance! Packaged in a convenient and elegant lipstick-style case, it is ideal for daily last moment fixes on the go.
 
 Highlights
 
 A unique waterproof concealer stick, for maximum coverage, that lasts 24 hours, and provide high sun protection SPF 30
 Provide high cover if it is necessary, or can be used in smaller quantities for a natural outlook 
 Perfect for any working woman that desires a makeup with a natural-looking effect that can last all day long.
 Perfect for special occasions: weddings, swimming, skiing, dancing, outdoor activities.
  Hypoallergenic tested. It does not irritate the eye
 Available in 6 colours. Please refer to the colour chart to chose a shade and mention the number in your order's comment section.
 
 
 Clever make-up
 
 Camouflage make-up are real value for money: they provide coverage up to 5 times more than ordinary foundation, therefore it is better to use less quantity than more!
 Before applying or after removing your make-up, nourish your skin with Skin Protector or your favourite moisturising eye cream.
 Apply a small quantity of Coverderm concealer and spreed it well with finger or a sponge. 
 For very dark eye circle is not recommended to use very light colours. Use an appropriate shade to your skin colour. Apply up on this a lighter colour if you want to get a brighter shade.
 Apply Finishing Powder to fix the concealing effect on pimple, dark spots, vitiligo. You can apply Finishing Powder on under eye for a brighter outlook.
 Removing Cream is ideal to remove easily any make-up product, concealer, even waterproof mascaras, and eye-liners.
 To seal your lipstick ""forever"" apply a thin layer of Concealer underneath your lipstick.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Concealer.png?alt=media&token=52c38d93-5892-458d-b01e-319937b1eb30,7,17,13.6
Coverderm Camouflage Finishing Powder ,شسيسش,"COVERDERM Finishing Powder - A translucent, hypoallergenic, loose powder that blends perfectly into the make-up and renders radiance and silky texture to the face.
 It is the ideal powder to set the Camouflage make-ups and completes their natural looking effect throughout the day. Being translucent it matches perfectly with all make-up shades. Ideal to absorb sebum and sweat.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Finishing-Powder.png?alt=media&token=84284d4a-3af8-47b9-a46a-0a22f51264bc,7,23.5,18.8
Coverderm Camouflage Perfect Face,شسيسش,"A unique waterproof makeup for everyday perfection. It covers any minor skin imperfections and discolourations, acne, age spots, vitiligo and sunspots.
 
 Recommended by dermatologists and make-up artists worldwide!
 
 Perfect Face - easily applied make-up ideal to hide away minor flaws and blemishes, pale complexion and uneven skin colour. It is also suitable for skin imperfections such as acne, vitiligo, faded angiomas, pregnancy mask, age and sun spots, pigmentation, freckles and facial redness.
 
 Highlights
 
 A unique waterproof makeup that lasts 24 hours, and provides high sun protection.
 Economical, very concentrated formula, which lasts 6 months it is used daily.
 The oily free formulation is suitable to all skin type and to oily, acne-prone skin. 
 Perfect for any working woman that desires a makeup with a natural-looking effect that can last all day long.
 Perfect for special occasions: weddings, swimming, skiing, dancing, outdoor activities.
 It does not irritate the skin and allows it to breathe. 
 Available in 11 colours. Please refer to the colour chart to choose a shade appropriate for your skin and mention the number in your order's comment section.
 
 Clever make-up
 
 Camouflage make-up is real value for money: they provide coverage up to 5 times more than ordinary foundation, therefore it is better to use less quantity than more!
 Before applying or after removing your make-up, nourish your skin with Skin Protector or your favourite moisturiser.
 Apply a small quantity of Perfect Face and spread it well with a finger or a sponge
 Apply Finishing Powder to fix the makeup. You can apply Finishing Powder on oily skin anytime during the day to absorb sebum and eliminate the shinny-look effect.
 Removing Cream is ideal to remove easily any make-up product, even waterproof mascaras, and eye-liners.",https://firebasestorage.googleapis.com/v0/b/pointsv1.appspot.com/o/productimagesforonlineuse%2FCoverderm-Camouflage-Perfect-Face.png?alt=media&token=fa164f16-83c9-46b0-b3b0-a126431eb263,7,33,26.4
